,id,message,original,genre,Priority
0,2,weather update cold front cuba could pass haiti,Un front froid se retrouve sur Cuba ce matin. Il pourrait traverser Haiti demain. Des averses de pluie isolee sont encore prevues sur notre region ce soi,direct,1
1,7,hurricane,Cyclone nan fini osinon li pa fini,direct,2
2,8,looking someone name,"Patnm, di Maryani relem pou li banm nouvel li ak timoun yo. Mesi se john jean depi Monben kwochi.",direct,2
3,9,un reports leogane destroyed hospital st croix functioning needs supplies desperately,UN reports Leogane 80-90 destroyed. Only Hospital St. Croix functioning. Needs supplies desperately.,direct,2
4,12,says west side haiti rest country today tonight,facade ouest d Haiti et le reste du pays aujourd hui et ce soir,direct,1
5,14,information national palace,Informtion au nivaux palais nationl,direct,1
6,15,storm sacred heart jesus,Cyclone Coeur sacr de jesus,direct,1
7,16,please need tents water silo thank you,Tanpri nou bezwen tant avek dlo nou zon silo mesi.,direct,2
8,17,would like receive messages thank,Mwen ta renmen jouin messag yo. Merci,direct,3
9,18,croix des bouquets health issues workers santo area croix des bouquets,"Nou kwadebouke, nou gen pwoblem sant m yo nan santo 15",direct,2
10,20,there s nothing eat water starving thirsty,Bon repo pa gen anyen menm grangou swaf,direct,2
11,21,petionville need information regarding,M nan pv mvle plis enfomasyon sou 4636,direct,2
12,22,thomassin number area named pyron would like water thank god fine desperately need water thanks,Mwen thomassin 32 nan pyron mwen ta renmen jwen yon ti dlo gras a dieu bo lakay mwen anfom se sel dlo nou bezwen,direct,1
13,24,let s together need food delma didine area,Ann fel ansanm bezwen manje nan delma 75 nan riyel didine,direct,2
14,25,information number order participate see use,gen plis enfomasyon sou 4636 la pom w sim ap ka patisipe.,direct,1
15,26,comitee delmas rue street janvier impasse charite people temporary shelter dire need water food medications tents clothes please stop see us,"Komite katye delma 19 rue janvier imp charite no 2. Nou genyen 500 moun ki nan abri pwovizwa. Nou bezwen dlo, manje, medikaman, tant, vtman. Tanpri vizite n.",direct,1
16,27,need food water klecin dying hunger impasse chretien klecin extended extension hungry sick,Nou bezwen mange avek dlo nan klcin 12 LA LAFIN AP TU NOU IMPASSE chrtien klcin 12 pwolonge nou gwangou nou malad,direct,1
17,28,going call want call ou let know,Eske se rele nap relem oubyen se mwen kap rele nou?si se mwen eske,direct,2
18,30,understand use thing,Mwen pa konprann koman pou m itilize bagay 4636 la,direct,2
19,31,would like know earthquake over thanks,Mwen ta remen connin si trenblem de terre afini oke,direct,3
20,32,would like know one radio ginen journalist died,Mwen ta renmen konnen eske ge jounalis radyo ginen ki mouri.,direct,1
21,33,i m laplaine victim,Mwen laplan mwen viktim kot yap bay d pou latranbl,direct,2
22,34,there s lack water moleya please informed me,Nan moleya pa gen dlo svp f konnen sa pou mwen.,direct,2
23,35,people live sibert need food hungry,nou menm nan sibert nou grangou nou bezwen mange,direct,1
24,36,want say hello message let know there s area faustin anhy street nothing neither food water medicine,Mwen salye nou dab mesaj mwen an se jis nou gen yen faustin 1re rue anhy 1re kipa jwenn an yen ni vizit ni dlo e moun yo dan le bezyon yap achte ti sa,direct,1
25,37,tell service,Can you tell me about this service,direct,2
26,38,people i m delma anything ever please provide us food water medicine,MEZANMI MWEN MWEN NAN DELMA 2 NOU TR MAN MAL NOU PA JAN M JWEN ANY,direct,2
27,39,gressier needs assistance right away asap come help us,Se gressier nou an difikilte tanpri vin ede nou,direct,3
28,41,get water food fontamara cite tinante,Comment nou ka jwen dlo ak manje nan font 43 cite tinante,direct,1
29,42,need help carrefour forgotten completely foul odor killing us letting know thanks,Nap di secours yo bliye kafou net sant m ap touye moun fe mesage la pase ok mersi.,direct,3
30,43,good evening radio one please would like information tiyous,Bonswa radio one svp eskew pap k enfomasyon sou tiyous.,direct,2
31,44,lot problem delma avenue albert jode people need water food,We have a many probleme a baout delmas 75 aveny albert jode the pepole need some weater some food and medcin Iwat my name rejinald,direct,1
32,45,i m here find person needed send pant phone,Mwen la moun poum te voye pantalon mwen pa jwenn yo pa telefon,direct,2
33,46,people sleeping outdoors field near lilavois since jan coords lilavois apparently near pap,ofit des habitants qui dorment a la belle etoile sur le terrain de Lilavois depuis le 12 janvier.,direct,2
34,47,want know carrefour need help starving death,koufou poko jwenn ankenn ed nap mouri grangou men nou gen dlo ok.,direct,2
35,48,find food water people many differents needs also medicine fontamara cite tinante,Comment nou ka jwen dlo ak manje nou gen moun ki gen tout kalte pwoblem nan fontamara 43 cite tinante,direct,2
36,49,delmas silo need water,Delma 33 silo gen problem dlo,direct,1
37,50,would like get help cote plage carrefour,Mwen ta renmen yo vizite cote plage carrefour,direct,2
38,51,leoganes get food please,mwen leyogan ki kote ki gen manje tanpri,direct,2
39,52,comite miracle area alerte rue monseigneur guilloux streets alerte cross street mgr guilloux would like urgently receive food water tents people area thanks,komite mirak ki tabli nan zone alerte mgr guilloux ta renmen resevwa prese prese dlo manje ak tant pou moun nan zone nan,direct,1
